,activation,match,Loss,Accuracy,Recall,Precision,F1
84,LeakyReLU,"[32, 16, 10]",0.4626197814941406,0.8467742204666138,0.7906976938247681,0.7727272510528564,0.7816091937958315
1,relu,"[64, 16, 20]",0.43783432245254517,0.8467742204666138,0.7674418687820435,0.7857142686843872,0.7764705841764032
59,tanh,"[64, 4, 40]",0.4179841876029968,0.8387096524238586,0.7674418687820435,0.7674418687820435,0.7674418687820435
15,relu,"[32, 16, 40]",0.5886303782463074,0.8387096524238586,0.7209302186965942,0.7948718070983887,0.7560975588835964
34,elu,"[64, 4, 30]",0.44481033086776733,0.8306451439857483,0.8139534592628479,0.7291666865348816,0.7692307672873735
18,relu,"[32, 8, 30]",0.4392392933368683,0.8306451439857483,0.7209302186965942,0.7749999761581421,0.746987933291633
13,relu,"[32, 16, 20]",0.44224345684051514,0.8306451439857483,0.8139534592628479,0.7291666865348816,0.7692307672873735
43,elu,"[32, 8, 40]",0.44903406500816345,0.8306451439857483,0.7674418687820435,0.75,0.7586206937185885
78,LeakyReLU,"[64, 8, 30]",0.4353198707103729,0.8306451439857483,0.7674418687820435,0.75,0.7586206937185885
74,LeakyReLU,"[64, 16, 30]",0.42256107926368713,0.8306451439857483,0.7209302186965942,0.7749999761581421,0.746987933291633
58,tanh,"[64, 4, 30]",0.41411158442497253,0.8306451439857483,0.8139534592628479,0.7291666865348816,0.7692307672873735
70,tanh,"[32, 4, 30]",0.40655893087387085,0.8306451439857483,0.7906976938247681,0.739130437374115,0.7640449542647704
75,LeakyReLU,"[64, 16, 40]",0.46362534165382385,0.8225806355476379,0.6976743936538696,0.7692307829856873,0.7317073095738351
47,elu,"[32, 4, 40]",0.4422154724597931,0.8225806355476379,0.7209302186965942,0.7560975551605225,0.7380952280597621
87,LeakyReLU,"[32, 16, 40]",0.45957350730895996,0.8225806355476379,0.7674418687820435,0.7333333492279053,0.7500000122842218
51,tanh,"[64, 16, 40]",0.43865686655044556,0.8225806355476379,0.7906976938247681,0.7234042286872864,0.7555555498894343
42,elu,"[32, 8, 30]",0.436604768037796,0.8225806355476379,0.7674418687820435,0.7333333492279053,0.7500000122842218
71,tanh,"[32, 4, 40]",0.41404420137405396,0.8225806355476379,0.7674418687820435,0.7333333492279053,0.7500000122842218
79,LeakyReLU,"[64, 8, 40]",0.46834424138069153,0.8225806355476379,0.6976743936538696,0.7692307829856873,0.7317073095738351
39,elu,"[32, 16, 40]",0.45738521218299866,0.8225806355476379,0.7441860437393188,0.7441860437393188,0.7441860437393188
83,LeakyReLU,"[64, 4, 40]",0.4629344940185547,0.8225806355476379,0.7441860437393188,0.7441860437393188,0.7441860437393188
86,LeakyReLU,"[32, 16, 30]",0.43531298637390137,0.8225806355476379,0.7441860437393188,0.7441860437393188,0.7441860437393188
0,relu,"[64, 16, 10]",0.4604089558124542,0.8225806355476379,0.6744186282157898,0.7837837934494019,0.7250000177510082
3,relu,"[64, 16, 40]",0.6287055611610413,0.8225806355476379,0.7674418687820435,0.7333333492279053,0.7500000122842218
8,relu,"[64, 4, 10]",0.5053465962409973,0.8225806355476379,0.604651153087616,0.8387096524238586,0.702702687377038
14,relu,"[32, 16, 30]",0.4886082708835602,0.8225806355476379,0.7674418687820435,0.7333333492279053,0.7500000122842218
91,LeakyReLU,"[32, 8, 40]",0.43080881237983704,0.8225806355476379,0.7209302186965942,0.7560975551605225,0.7380952280597621
2,relu,"[64, 16, 30]",0.4915100038051605,0.8225806355476379,0.7441860437393188,0.7441860437393188,0.7441860437393188
90,LeakyReLU,"[32, 8, 30]",0.420599102973938,0.8225806355476379,0.7441860437393188,0.7441860437393188,0.7441860437393188
19,relu,"[32, 8, 40]",0.49830272793769836,0.8145161271095276,0.7209302186965942,0.738095223903656,0.7294117506812601
7,relu,"[64, 8, 40]",0.5289990305900574,0.8145161271095276,0.6744186282157898,0.7631579041481018,0.7160494001404829
73,LeakyReLU,"[64, 16, 20]",0.40997374057769775,0.8145161271095276,0.7441860437393188,0.7272727489471436,0.7356321936413449
11,relu,"[64, 4, 40]",0.49307164549827576,0.8145161271095276,0.7441860437393188,0.7272727489471436,0.7356321936413449
17,relu,"[32, 8, 20]",0.40973761677742004,0.8145161271095276,0.7209302186965942,0.738095223903656,0.7294117506812601
54,tanh,"[64, 8, 30]",0.4152536988258362,0.8145161271095276,0.7441860437393188,0.7272727489471436,0.7356321936413449
23,relu,"[32, 4, 40]",0.4547673463821411,0.8145161271095276,0.7209302186965942,0.738095223903656,0.7294117506812601
69,tanh,"[32, 4, 20]",0.4257575571537018,0.8145161271095276,0.7674418687820435,0.717391312122345,0.7415730417444465
26,elu,"[64, 16, 30]",0.4512411653995514,0.8145161271095276,0.8139534592628479,0.699999988079071,0.7526881527054418
27,elu,"[64, 16, 40]",0.47123077511787415,0.8145161271095276,0.7906976938247681,0.7083333134651184,0.7472527448630907
85,LeakyReLU,"[32, 16, 20]",0.4202559292316437,0.8145161271095276,0.7441860437393188,0.7272727489471436,0.7356321936413449
35,elu,"[64, 4, 40]",0.4680120348930359,0.8064516186714172,0.7674418687820435,0.7021276354789734,0.7333333239879134
