,Scaler,Model,Accuracy,Recall,Precision,F1
20,RobustScaler(),GradientBoostingClassifier(max_depth=1),0.8709677419354839,0.813953488372093,0.813953488372093,0.8139534883720931
6,StandardScaler(),GradientBoostingClassifier(max_depth=1),0.8709677419354839,0.813953488372093,0.813953488372093,0.8139534883720931
13,MinMaxScaler(),GradientBoostingClassifier(max_depth=1),0.8709677419354839,0.813953488372093,0.813953488372093,0.8139534883720931
16,RobustScaler(),RandomForestClassifier(),0.8306451612903226,0.7441860465116279,0.7619047619047619,0.7529411764705882
9,MinMaxScaler(),RandomForestClassifier(),0.7983870967741935,0.7209302325581395,0.7045454545454546,0.7126436781609196
3,StandardScaler(),LogisticRegression(max_iter=1000),0.7903225806451613,0.7674418604651163,0.673469387755102,0.7173913043478259
4,StandardScaler(),AdaBoostClassifier(),0.7903225806451613,0.6976744186046512,0.6976744186046512,0.6976744186046512
18,RobustScaler(),AdaBoostClassifier(),0.7903225806451613,0.6976744186046512,0.6976744186046512,0.6976744186046512
17,RobustScaler(),LogisticRegression(max_iter=1000),0.7903225806451613,0.7674418604651163,0.673469387755102,0.7173913043478259
11,MinMaxScaler(),AdaBoostClassifier(),0.7903225806451613,0.6976744186046512,0.6976744186046512,0.6976744186046512
12,MinMaxScaler(),KNeighborsClassifier(),0.782258064516129,0.7209302325581395,0.6739130434782609,0.6966292134831461
19,RobustScaler(),KNeighborsClassifier(),0.782258064516129,0.6744186046511628,0.6904761904761905,0.6823529411764705
10,MinMaxScaler(),LogisticRegression(max_iter=1000),0.782258064516129,0.813953488372093,0.6481481481481481,0.7216494845360826
14,RobustScaler(),SVC(),0.7741935483870968,0.7906976744186046,0.6415094339622641,0.7083333333333334
2,StandardScaler(),RandomForestClassifier(),0.7741935483870968,0.6511627906976745,0.6829268292682927,0.6666666666666667
5,StandardScaler(),KNeighborsClassifier(),0.7661290322580645,0.7209302325581395,0.6458333333333334,0.6813186813186812
1,StandardScaler(),DecisionTreeClassifier(),0.75,0.627906976744186,0.6428571428571429,0.6352941176470588
0,StandardScaler(),SVC(),0.75,0.813953488372093,0.603448275862069,0.693069306930693
8,MinMaxScaler(),DecisionTreeClassifier(),0.7338709677419355,0.627906976744186,0.6136363636363636,0.6206896551724139
7,MinMaxScaler(),SVC(),0.7338709677419355,0.8837209302325582,0.5757575757575758,0.6972477064220183
15,RobustScaler(),DecisionTreeClassifier(),0.7096774193548387,0.6744186046511628,0.5686274509803921,0.6170212765957446
